item_category,item_id,brand,user_id,date,comment,rating,tonality
411,4110103,1050,2170,2017-05-18,Очень мощный. Чистит отлично.,5,positive
205,2050201,656,2923,2010-03-17,"Телефон очень классный, но для него очень мало тем и игр, особенно прошивок.",5,positive
413,4130701,10,1662,2010-08-21,"Бреюсь два года, имею жесткую щетину и раздражительную кожу.До этой бритвы бритьё казалось адом, Mach3-хватило лезвия на 2ва раза и то весь изрежешься и не пробреешься. Пробовал браун чуть получше лезвий, но раздражение. Панасоником бреюсь на сухую режущий блок пока не менял. Всем такую бритву советую.",5,positive
103,1030105,829,2624,2010-03-30,"Я себе поставил этот комплект и не о чем не пожелел. Очень классный комплект Mystery, покупайте не пожелеете.",5,positive
205,2050201,13,3106,2010-07-02,"купила недавно и очень рада!  превосходный телефон с прикольными сменными панелями.  яркий,модный,красивый,понятный и удобный. и т.д  неплохая камера не хуже чем у star:)  мало недостатков, хорошего в нём намного больше!  с каждым днём радует всё больше!  много доступа к интернету!  может заменить плеер)  ооочень хороший телефон!)  советую всем брать!и цена хорошая...)",5,positive
412,4120101,76,1440,2011-03-22,"Очень хороший!!!!!!!!!! была приятно удивлена тем, как легко и просто он гладит, точнее как разглаживает складки! сейчас у меня пора пеленок и хороший утюг сильно экономит время! я и раньше любила гладить белье, а теперь это просто наслаждение. надеюсь он прослужит долго!!!",5,positive
404,4040203,755,181,2010-01-28,"Куплен зимой для создания нормальной влажности в комнате. С задачей справляется на 100  на маленькой скорости, так как, чтоб ни говорили стоит гул на высокой, да она и не нужна для комнаты в 22 кв.м. Пыли стало гораздо меньше. Влажность 55 %. Сменный фильтр найти не проблема, стоит только достаточно дорого от 700р, в инете полно предложений. советую покупать.",4,positive
406,4061001,617,1217,2016-01-27,"Чайник с виду не плохой, чуток не понравилось, что крышка у него не много хлябает, ну это и понятно цена для качества не велика. Красивая синяя подсветка очень радует глаз, при первом кипячении пахло не понятно чем, хотя воду наливали через фильтр, думаю, что позже запах выветрится.ставлю 5 баллов только из за цены.",5,positive
103,1030304,795,2957,2009-09-28,"В общем аппарат хороший, настроек не очень много, но и не мало. Качество изображения, для экрана такого размера, на 5.  Качество звучания на 4.  Юзал бы и дальше, но вот спустя 4 месяца после установки,  начались проблемы с регулятором громкости. При добавлении громкости магнитола могла сама поднять на 3-5 делений и сразу же скинуть 5-6 ниже... Благо пульт в комплекте. Сдал в гарантию. При сдаче в гарантию меня заверили, что это разовый случай.  В остальном магнитолой я доволен.",4,positive
516,5160305,985,2815,2010-12-31,"Купил три месяца назад. Работает в паре с 208 + ещё наружный датчик. Показывает точно, а, главное, отлично видно с любого расстояния.",5,positive
