item_category,item_id,brand,user_id,date,comment,rating,tonality,translated_comment
411,4110103,1050,2170,2017-05-18,Очень мощный. Чистит отлично.,5,positive,Very powerful. Cleans perfectly.
205,2050201,656,2923,2010-03-17,"Телефон очень классный, но для него очень мало тем и игр, особенно прошивок.",5,positive,"The phone is very cool, but there are very few themes and games for it, especially firmware."
413,4130701,10,1662,2010-08-21,"Бреюсь два года, имею жесткую щетину и раздражительную кожу.До этой бритвы бритьё казалось адом, Mach3-хватило лезвия на 2ва раза и то весь изрежешься и не пробреешься. Пробовал браун чуть получше лезвий, но раздражение. Панасоником бреюсь на сухую режущий блок пока не менял. Всем такую бритву советую.",5,positive,"I&#39;ve been shaving for two years, I have a hard stubble and irritated skin. Before this razor, shaving seemed like hell, Mach3 - the blade was enough for 2 times and then you&#39;ll get all cut up and not shave. I tried Braun, slightly better blades, but irritation. I shave with Panasonic dry, I haven&#39;t changed the cutting block yet. I recommend this razor to everyone."
103,1030105,829,2624,2010-03-30,"Я себе поставил этот комплект и не о чем не пожелел. Очень классный комплект Mystery, покупайте не пожелеете.",5,positive,"I installed this set for myself and did not regret anything. Very cool Mystery set, buy it, you will not regret it."
205,2050201,13,3106,2010-07-02,"купила недавно и очень рада!  превосходный телефон с прикольными сменными панелями.  яркий,модный,красивый,понятный и удобный. и т.д  неплохая камера не хуже чем у star:)  мало недостатков, хорошего в нём намного больше!  с каждым днём радует всё больше!  много доступа к интернету!  может заменить плеер)  ооочень хороший телефон!)  советую всем брать!и цена хорошая...)",5,positive,"I bought it recently and I am very happy! An excellent phone with cool interchangeable panels. Bright, fashionable, beautiful, clear and convenient. etc. A good camera, not worse than the star :) Few disadvantages, much more good in it! Every day I am more and more happy! Lots of internet access! Can replace the player) A very good phone!) I advise everyone to take it! And the price is good...)"
412,4120101,76,1440,2011-03-22,"Очень хороший!!!!!!!!!! была приятно удивлена тем, как легко и просто он гладит, точнее как разглаживает складки! сейчас у меня пора пеленок и хороший утюг сильно экономит время! я и раньше любила гладить белье, а теперь это просто наслаждение. надеюсь он прослужит долго!!!",5,positive,"Very good!!!!!!!!!! I was pleasantly surprised by how easy and simple it is to iron, or rather how it smooths out creases! Now it&#39;s diaper time for me and a good iron saves a lot of time! I used to love ironing clothes, and now it&#39;s just a pleasure. I hope it will last a long time!!!"
404,4040203,755,181,2010-01-28,"Куплен зимой для создания нормальной влажности в комнате. С задачей справляется на 100  на маленькой скорости, так как, чтоб ни говорили стоит гул на высокой, да она и не нужна для комнаты в 22 кв.м. Пыли стало гораздо меньше. Влажность 55 %. Сменный фильтр найти не проблема, стоит только достаточно дорого от 700р, в инете полно предложений. советую покупать.",4,positive,"Bought in winter to create normal humidity in the room. It copes with the task 100% at low speed, because, no matter what they say, there is a hum at high speed, and it is not needed for a room of 22 sq.m. There is much less dust. Humidity is 55%. It is not a problem to find a replacement filter, it is just quite expensive from 700 rubles, there are plenty of offers on the Internet. I advise you to buy it."
406,4061001,617,1217,2016-01-27,"Чайник с виду не плохой, чуток не понравилось, что крышка у него не много хлябает, ну это и понятно цена для качества не велика. Красивая синяя подсветка очень радует глаз, при первом кипячении пахло не понятно чем, хотя воду наливали через фильтр, думаю, что позже запах выветрится.ставлю 5 баллов только из за цены.",5,positive,"The kettle looks good, I didn&#39;t like that the lid sloshes a little, well, that&#39;s understandable, the price is not high for the quality. The beautiful blue backlight is very pleasing to the eye, when it boiled for the first time it smelled of something unknown, although the water was poured through a filter, I think that the smell will disappear later. I give it 5 points only because of the price."
103,1030304,795,2957,2009-09-28,"В общем аппарат хороший, настроек не очень много, но и не мало. Качество изображения, для экрана такого размера, на 5.  Качество звучания на 4.  Юзал бы и дальше, но вот спустя 4 месяца после установки,  начались проблемы с регулятором громкости. При добавлении громкости магнитола могла сама поднять на 3-5 делений и сразу же скинуть 5-6 ниже... Благо пульт в комплекте. Сдал в гарантию. При сдаче в гарантию меня заверили, что это разовый случай.  В остальном магнитолой я доволен.",4,positive,"Overall, the device is good, there are not many settings, but not few either. The image quality, for a screen of this size, is 5. The sound quality is 4. I would have continued using it, but 4 months after installation, problems with the volume control began. When increasing the volume, the radio could itself increase by 3-5 divisions and immediately drop 5-6 below... Fortunately, the remote control is included. I returned it for warranty. When I returned it for warranty, I was assured that this was a one-time incident. Otherwise, I am happy with the radio."
516,5160305,985,2815,2010-12-31,"Купил три месяца назад. Работает в паре с 208 + ещё наружный датчик. Показывает точно, а, главное, отлично видно с любого расстояния.",5,positive,"I bought it three months ago. It works in tandem with 208 + an external sensor. It shows accurately, and, most importantly, it is perfectly visible from any distance."
